Кузнецов Андрей Игоревич; 2 курс; Группа 1
Смирнова Анна Сергеевна; 1 курс; Группа 2
Фёдоров Илья Николаевич; 3 курс; Группа 1
Орлова Марина Викторовна; 2 курс; Группа 2
Иванов Дмитрий Алексеевич; 1 курс; Группа 1
Соколова Екатерина Олеговна; 3 курс; Группа 2
Петрова Ольга Андреевна; 2 курс; Группа 1
Крылов Максим Денисович; 1 курс; Группа 2
Васильева Татьяна Павловна; 3 курс; Группа 1
Морозов Алексей Владимирович; 1 курс; Группа 1
Захаров Роман Евгеньевич; 2 курс; Группа 2
Никитин Артём Сергеевич; 3 курс; Группа 2
Волкова Ирина Михайловна; 1 курс; Группа 1
Белова Наталья Константиновна; 2 курс; Группа 1
Макаров Сергей Андреевич; 3 курс; Группа 1
Лебедева Юлия Игоревна; 1 курс; Группа 2
Громов Павел Александрович; 2 курс; Группа 2
Киселёва Алина Дмитриевна; 3 курс; Группа 2
Сидоров Михаил Романович; 1 курс; Группа 1
Тихонов Денис Олегович; 2 курс; Группа 1
Романова Елена Викторовна; 3 курс; Группа 1
Фролов Никита Вячеславович; 1 курс; Группа 2
Мельникова Анастасия Петровна; 2 курс; Группа 2
Борисов Кирилл Максимович; 3 курс; Группа 2
